finalResult,codeModule,moduleSession,ExternalQuiz,DataPlus,DualPlus,Folder,Forumng,Glossary,HomePage,HtmlActivity,OuCollaborate,OuContent,OuElluminate,OuWiki,PageClicks,Questionnaire,Quiz,RepeatActivity,Resource,SharedSubPage,SubPage,Url
Pass,1,0,0.0,0,0.0,0.0,20.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,0.0
Pass,5,0,29.0,0,0.0,0.0,22.0,0.0,55.0,0.0,0.0,329.0,0.0,1.0,7.0,12.0,65.0,0,4.0,0.0,23.0,2.0
Pass,6,1,0.0,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,81.0,0,2.0,0.0,1.0,0.0
Fail,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fail,2,0,0.0,0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0,16.0,0.0,4.0,0.0
Pass,3,1,0.0,0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4.0,0.0
Pass,2,0,0.0,0,0.0,0.0,7.0,0.0,59.0,0.0,0.0,217.0,0.0,0.0,2.0,0.0,391.0,0,23.0,0.0,71.0,0.0
Fail,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,3,0,0.0,0,8.0,0.0,121.0,0.0,133.0,0.0,14.0,17.0,0.0,0.0,4.0,0.0,399.0,0,48.0,0.0,71.0,3.0
Pass,5,1,0.0,0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,0.0
Pass,3,1,0.0,0,2.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,0.0,18.0,0.0
Pass,5,0,0.0,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,20.0,0.0
Pass,6,0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,33.0,0,4.0,0.0,0.0,0.0
Fail,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,5,0,4.0,0,0.0,0.0,2.0,0.0,35.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,7.0,0,1.0,0.0,16.0,5.0
Pass,3,0,0.0,0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,24.0,3.0
Pass,1,0,0.0,0,0.0,0.0,196.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0
Fail,5,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,4,1,0.0,0,0.0,0.0,48.0,0.0,38.0,0.0,0.0,73.0,0.0,0.0,3.0,0.0,774.0,0,7.0,0.0,37.0,5.0
Pass,5,0,7.0,0,0.0,1.0,228.0,0.0,107.0,0.0,0.0,516.0,0.0,0.0,3.0,6.0,35.0,0,3.0,0.0,39.0,5.0
Fail,4,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,3,0,0.0,0,10.0,0.0,70.0,0.0,107.0,0.0,9.0,74.0,0.0,0.0,0.0,0.0,0.0,0,82.0,0.0,201.0,2.0
Pass,1,1,0.0,0,0.0,0.0,137.0,0.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0,1.0
Fail,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fail,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,5,1,5.0,0,0.0,0.0,118.0,0.0,212.0,0.0,0.0,866.0,7.0,6.0,0.0,0.0,404.0,0,5.0,0.0,101.0,4.0
Pass,5,1,0.0,0,0.0,0.0,22.0,0.0,129.0,0.0,0.0,400.0,6.0,0.0,3.0,0.0,237.0,0,10.0,0.0,69.0,8.0
Fail,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass,2,0,0.0,0,0.0,0.0,107.0,0.0,86.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,1.0,0,9.0,0.0,14.0,18.0
Pass,1,0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0,12.0,0.0,0.0,0.0
Pass,1,1,0.0,0,0.0,0.0,23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0
