finalResult,codeModule,moduleSession,ExternalQuiz,DataPlus,DualPlus,Folder,Forumng,Glossary,HomePage,HtmlActivity,OuCollaborate,OuContent,OuElluminate,OuWiki,PageClicks,Questionnaire,Quiz,RepeatActivity,Resource,SharedSubPage,SubPage,Url
Pass,1,0,0.0,0.0,0.0,0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0,0
Pass,5,0,0.0,0.0,0.0,0,14.0,0.0,60.0,0.0,0.0,438.0,0.0,0.0,6.0,0.0,52.0,0.0,5.0,0.0,0,0
Pass,6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fail,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fail,2,0,0.0,0.0,0.0,0,5.0,0.0,56.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,87.0,0.0,32.0,0.0,0,0
Pass,3,1,0.0,0.0,4.0,0,0.0,0.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0
Pass,2,0,0.0,0.0,0.0,0,15.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,22.0,0.0,0,0
Fail,5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pass,3,0,0.0,0.0,0.0,0,61.0,0.0,88.0,0.0,0.0,66.0,0.0,7.0,0.0,0.0,35.0,0.0,31.0,0.0,0,0
Pass,5,1,0.0,0.0,0.0,0,8.0,0.0,67.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,273.0,0.0,5.0,0.0,0,0
Pass,3,1,0.0,0.0,6.0,0,20.0,0.0,57.0,0.0,0.0,45.0,10.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0
Pass,5,0,0.0,0.0,0.0,0,31.0,0.0,41.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0,0
Pass,6,0,0.0,0.0,0.0,0,24.0,4.0,72.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,59.0,0.0,19.0,0.0,0,0
